review,rating,date,bank,source,sentiment_label,sentiment_score
ok,5,2025-05-07 09:38:53,CBE,Google Play Store,POSITIVE,0.9997851252555847
good,3,2025-05-06 17:38:42,CBE,Google Play Store,POSITIVE,0.9998161196708679
amazing apps,5,2025-05-06 16:33:35,CBE,Google Play Store,POSITIVE,0.9998716115951538
All service of Mobile Banking,5,2025-05-06 15:35:31,CBE,Google Play Store,POSITIVE,0.892425537109375
needs improvement,1,2025-05-06 13:59:52,CBE,Google Play Store,NEGATIVE,0.9966731071472168
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06 13:34:08,CBE,Google Play Store,NEGATIVE,0.995843231678009
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06 13:33:07,CBE,Google Play Store,NEGATIVE,0.9984410405158997
good,5,2025-05-06 13:28:47,CBE,Google Play Store,POSITIVE,0.9998161196708679
good but these week not oky,4,2025-05-06 12:56:15,CBE,Google Play Store,NEGATIVE,0.9554156064987183
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06 11:34:36,CBE,Google Play Store,POSITIVE,0.9998049139976501
Good app,5,2025-05-06 11:11:13,CBE,Google Play Store,POSITIVE,0.9998493194580078
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05 21:48:43,CBE,Google Play Store,NEGATIVE,0.9975224137306213
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05 18:08:53,CBE,Google Play Store,POSITIVE,0.8991116881370544
CBE mobilr bankg,5,2025-05-05 14:25:29,CBE,Google Play Store,POSITIVE,0.8703054785728455
wow,1,2025-05-05 12:25:17,CBE,Google Play Store,POSITIVE,0.999592125415802
verygood,3,2025-05-05 03:06:27,CBE,Google Play Store,POSITIVE,0.9988996982574463
ممتاز جدا,5,2025-05-04 20:08:37,CBE,Google Play Store,NEGATIVE,0.8031744956970215
it's very low quality application,1,2025-05-04 19:23:40,CBE,Google Play Store,NEGATIVE,0.9996594190597534
Very Amazing Apps,5,2025-05-04 18:03:08,CBE,Google Play Store,POSITIVE,0.9998774528503418
አዛ,1,2025-05-04 17:41:19,CBE,Google Play Store,NEGATIVE,0.6970564723014832
wow simple life,5,2025-05-04 06:07:03,CBE,Google Play Store,POSITIVE,0.9997076392173767
it's nice,5,2025-05-03 20:32:24,CBE,Google Play Store,POSITIVE,0.9998672008514404
Why stacked sometimes,5,2025-05-03 14:48:40,CBE,Google Play Store,NEGATIVE,0.9941052198410034
good app,5,2025-05-03 14:18:05,CBE,Google Play Store,POSITIVE,0.9998493194580078
nice,5,2025-05-03 12:54:17,CBE,Google Play Store,POSITIVE,0.9998552799224854
okay 👍 but sometimes busy,1,2025-05-03 12:04:28,CBE,Google Play Store,NEGATIVE,0.8515543937683105
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03 11:10:57,CBE,Google Play Store,NEGATIVE,0.9997990727424622
nice,5,2025-05-03 10:38:48,CBE,Google Play Store,POSITIVE,0.9998552799224854
Very good app. but disappointed by general cessation of system.,5,2025-05-02 21:48:08,CBE,Google Play Store,NEGATIVE,0.9981188178062439
excellent,5,2025-05-02 21:34:09,CBE,Google Play Store,POSITIVE,0.9998434782028198
good,5,2025-05-02 20:46:24,CBE,Google Play Store,POSITIVE,0.9998161196708679
good,5,2025-05-02 18:41:21,CBE,Google Play Store,POSITIVE,0.9998161196708679
Good and fast,5,2025-05-02 18:26:06,CBE,Google Play Store,POSITIVE,0.9998561143875122
Unreliable!,1,2025-05-02 18:00:51,CBE,Google Play Store,NEGATIVE,0.9997379183769226
Best the best fast,5,2025-05-02 17:41:29,CBE,Google Play Store,POSITIVE,0.9998427629470825
good app,5,2025-05-02 17:38:21,CBE,Google Play Store,POSITIVE,0.9998493194580078
happy,5,2025-05-02 17:21:51,CBE,Google Play Store,POSITIVE,0.9998753070831299
fast and reliable,5,2025-05-02 17:09:37,CBE,Google Play Store,POSITIVE,0.9998595714569092
network errorrrrrr,2,2025-05-02 16:52:00,CBE,Google Play Store,NEGATIVE,0.9978076815605164
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02 16:42:07,CBE,Google Play Store,NEGATIVE,0.9982808828353882
its good and simple to use,5,2025-05-02 15:47:48,CBE,Google Play Store,POSITIVE,0.9998610019683838
worest app like that bank for security and network access,1,2025-05-02 15:44:39,CBE,Google Play Store,NEGATIVE,0.9927296042442322
it's the best app i,5,2025-05-02 15:03:06,CBE,Google Play Store,POSITIVE,0.999834418296814
not bad not good,1,2025-05-02 14:57:44,CBE,Google Play Store,NEGATIVE,0.9715348482131958
its very nice,5,2025-05-02 14:56:32,CBE,Google Play Store,POSITIVE,0.9998526573181152
do not work this week,3,2025-04-30 10:24:09,CBE,Google Play Store,NEGATIVE,0.9977602958679199
It crashes frequently,4,2025-04-30 07:14:38,CBE,Google Play Store,NEGATIVE,0.9993256330490112
the best,5,2025-04-28 20:52:10,CBE,Google Play Store,POSITIVE,0.9998332262039185
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28 20:03:30,CBE,Google Play Store,POSITIVE,0.8382584452629089
goid,5,2025-04-28 19:58:49,CBE,Google Play Store,NEGATIVE,0.7087001204490662
best appearance,5,2025-04-27 21:57:03,CBE,Google Play Store,POSITIVE,0.9996986389160156
it's very good 👍 app,5,2025-04-27 16:40:09,CBE,Google Play Store,POSITIVE,0.999859094619751
I need support you,5,2025-04-27 00:36:30,CBE,Google Play Store,NEGATIVE,0.9881443977355957
the worst Mobile banking i have ever seen in my life,1,2025-04-26 23:06:19,CBE,Google Play Store,NEGATIVE,0.9997807145118713
super,5,2025-04-26 16:12:32,CBE,Google Play Store,POSITIVE,0.998783528804779
ጠጀጨገጀ።ጀገ,5,2025-04-26 13:34:03,CBE,Google Play Store,NEGATIVE,0.8337253928184509
i like the app,5,2025-04-26 12:43:28,CBE,Google Play Store,POSITIVE,0.9994398951530457
the Best,1,2025-04-26 11:51:19,CBE,Google Play Store,POSITIVE,0.9998332262039185
nice,5,2025-04-26 09:52:40,CBE,Google Play Store,POSITIVE,0.9998552799224854
good,5,2025-04-26 02:03:26,CBE,Google Play Store,POSITIVE,0.9998161196708679
good,5,2025-04-25 14:23:17,CBE,Google Play Store,POSITIVE,0.9998161196708679
to other bank is bad,1,2025-04-25 11:12:26,CBE,Google Play Store,NEGATIVE,0.9997149109840393
tank's,5,2025-04-25 09:22:36,CBE,Google Play Store,NEGATIVE,0.9855977892875671
its good but add more features such like. bank statement showing,5,2025-04-24 16:34:59,CBE,Google Play Store,POSITIVE,0.9881665110588074
it is so nice,5,2025-04-24 15:18:02,CBE,Google Play Store,POSITIVE,0.9998714923858643
good,5,2025-04-21 18:27:21,CBE,Google Play Store,POSITIVE,0.9998161196708679
Very Good👍,5,2025-04-21 18:13:05,CBE,Google Play Store,POSITIVE,0.8243637084960938
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21 14:44:01,CBE,Google Play Store,NEGATIVE,0.9995972514152527
"wow, amazing app",5,2025-04-21 13:35:11,CBE,Google Play Store,POSITIVE,0.9998503923416138
use ful,5,2025-04-21 11:11:23,CBE,Google Play Store,NEGATIVE,0.9949980974197388
Great app,5,2025-04-21 11:05:41,CBE,Google Play Store,POSITIVE,0.999821126461029
well app,5,2025-04-20 16:14:07,CBE,Google Play Store,POSITIVE,0.9993765950202942
Actually it is inactive,4,2025-04-19 22:01:42,CBE,Google Play Store,NEGATIVE,0.9996483325958252
good,4,2025-04-19 21:10:32,CBE,Google Play Store,POSITIVE,0.9998161196708679
ok,2,2025-04-19 19:39:28,CBE,Google Play Store,POSITIVE,0.9997851252555847
best app,5,2025-04-19 17:51:50,CBE,Google Play Store,POSITIVE,0.999686598777771
amazing,1,2025-04-19 16:56:43,CBE,Google Play Store,POSITIVE,0.999875545501709
good,5,2025-04-19 16:14:01,CBE,Google Play Store,POSITIVE,0.9998161196708679
I like,5,2025-04-19 15:52:13,CBE,Google Play Store,POSITIVE,0.9998149275779724
"slow, only one account is used",2,2025-04-19 10:37:43,CBE,Google Play Store,NEGATIVE,0.9997527003288269
